"Monthly Mean Avg Temperature for ANN ARBOR U OF MICH, MI",,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1940,18.1,26.4,28.4,43,56.5,68.6,73.4,70.3,64,52.4,37.2,31.6,47.5
1941,25.8,25.1,30.4,52.8,62.2,69.2,73.6,70.9,66.7,54.9,41.8,34.4,50.7
1942,24.6,22,37,52.5,60.5,68.8,72.9,69.7,62,52.9,40.4,24.6,49
1943,21.1,28,33.3,43.7,57.3,72.5,72.5,70.9,60.7,50.3,37.6,26.9,47.9
1944,29.9,27.7,30.3,42.8,63,71.2,73.3,73.7,64.7,52.4,41.6,24.6,49.6
1945,18.6,27.6,48.7,50.2,52.3,65.2,70.2,70.7,64,49.7,40.1,22.7,48.3
1946,27,26.5,45.8,47.9,55.5,65,71.4,66.7,64.1,56.5,43,31.7,50.1
1947,29.2,20.4,29.6,44.3,52.9,64,68.7,75.5,63.7,59.5,35.8,27.1,47.6
1948,19.5,24.6,34.4,50.5,56,66.8,73.2,71.5,66,49.3,43.9,30.5,48.9
1949,30,29.8,35.3,47.3,60.5,72.1,75.3,71.4,58.9,57.9,39.3,32.5,50.9
1950,32.5,26.4,30.8,41.5,59.7,67.9,70.4,68.7,62.3,54.3,34.7,24.1,47.8
1951,26.8,26.4,35.5,45.7,60.1,66.9,71.7,68.1,60.9,54.5,33,27.4,48.1
1952,28.7,29.6,34.5,49.7,57.5,72.1,75.4,71,64.7,48.3,42.8,33.3,50.6
1953,29.9,31.5,37.4,44.4,61.2,71.2,73.3,73,M,56.7,42.7,31.7,50.3
1954,24.9,33.1,32.6,50,54,70.3,70.8,68.7,63.3,53.2,38.6,M,50.9
1955,24.1,25.3,M,53.8,60,M,77.6,73.4,63.1,54.4,36.9,26.5,49.5
1956,24.7,28.4,32.5,45.6,58.7,71.4,71,70.5,59.7,56.9,38.7,34.4,49.4
1957,21.1,31,36.9,49.1,57.6,69.4,73.2,70.7,63.3,51.2,39.8,33.9,49.8
1958,26.3,22.3,36.5,50.1,59.5,63.9,72.5,70.5,63.8,54.6,41.9,22,48.7
1959,20.8,25.7,34.5,49.6,62.8,70.5,73.5,75.5,66.8,51.3,36.2,33.7,50.1
1960,27.5,27.2,25.7,51,57.6,66.8,70.5,71.1,66.9,52.2,41,22.6,48.3
1961,22.2,30.3,39.1,43.1,56.7,67.3,72.8,71.6,68.8,55,41.2,28.5,49.7
1962,21.9,24.2,35.1,47.3,66.6,70.6,71.3,71.4,62.2,55.4,40.7,27.2,49.5
1963,17.6,21.1,37.8,50.9,58.1,71.2,73.6,69.1,62.9,62.1,44.9,23.2,49.4
1964,29.2,28,36.5,50.4,64.4,71.2,75.1,67.4,M,52,45,28.2,49.8
1965,24.2,24.6,29.3,46.6,64.2,68.4,69.9,68.5,65.6,50.7,42.7,34.7,49.1
1966,21.3,28.8,39.8,46.4,56.1,M,76.6,70.9,63.8,M,43.4,28,47.5
1967,28.6,22.4,35.6,49.9,56,72.7,71.6,69,62.8,53,37.2,33.2,49.3
1968,23.9,24.6,40.1,52,57.5,69.5,72.6,73.5,66.1,54.5,41.8,28.2,50.4
1969,24.9,29.4,35.5,51.3,60.2,65.2,73.5,74.3,65.7,53.2,40.2,29.4,50.2
1970,20.2,26.2,33.7,50.5,63,69.7,73.7,73.5,66.1,56.3,41.3,31.2,50.4
1971,20.7,27.2,33,47.2,58.7,73.4,72,71.7,68.1,61.4,41,35,50.8
1972,23.4,25.1,33.5,46.5,63.2,66,73.2,70.9,64.8,49.2,38.3,29.4,48.6
1973,29.2,26.5,45.3,50,56,71.4,73.4,73.6,66.1,58.1,42.5,28.3,51.7
1974,27.2,24.2,36.6,51.1,56.6,67,74.4,72.1,61.4,51.6,40.7,29.2,49.3
1975,28.5,27.1,32.7,41.3,63.7,68.4,72.2,71.8,57.9,53.2,45.7,28.3,49.2
1976,19.1,32.3,40,49.4,56,70.6,72.9,69.8,63,47.1,32.9,20.5,47.8
1977,12.3,24.8,41.1,52.2,64.8,65.1,74,68.4,63.9,49.2,40.4,25.2,48.4
1978,18.8,15.7,29.5,46,59.2,67.6,70.6,71.2,67,50,40.6,28.3,47
1979,18,15.8,38.6,45.1,57.2,67.9,70,68.5,64.2,51.1,40,32.2,47.4
1980,24.3,22.1,31.5,47.1,60.5,64.9,73.5,72.6,64.5,47.4,38.3,26.1,47.7
1981,19.9,28,36.8,50.7,57,68.7,72.2,70.3,61.3,47.3,40.6,27.6,48.4
1982,16.3,21.9,32.8,43.1,64.6,65.1,72.3,68.9,63.1,54,41.5,36.9,48.4
1983,27.3,30.9,38.1,44.4,55.4,68.7,74.6,74.2,65.8,53.1,41.6,19.7,49.5
1984,18,33.6,28.7,47.4,55.2,71.2,71.6,73,62.3,55.5,40.1,33.7,49.2
1985,19.8,23.8,39.1,53.3,62.5,64.6,71.5,68.9,64.8,53.2,41,22.4,48.7
