"Monthly Total Precipitation for ANN ARBOR U OF MICH, MI",,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2006,4.32,3.11,2.46,3.88,5.68,2.96,5.22,3.62,5.16,4.57,2.78,3.79,47.55
2007,4.31,1.32,3.51,2.62,3.17,2.93,3.26,5.78,0.89,2.25,2.31,4.37,36.72
2008,4.26,4.75,3.29,1.79,2.72,6,2.57,0.76,6.12,1.59,3.18,4.67,41.7
2009,2.16,2.98,4.04,5.56,2.86,6.71,2.47,3.89,2.01,4.15,0.84,3.56,41.23
2010,1.1,2.49,1.56,2.16,6.61,7.3,6.75,2.18,2.33,1.01,3.89,1.48,38.86
2011,1.99,4.11,3.92,6.25,7.32,1.35,4.73,3.71,6.04,2.86,5.74,3.01,51.03
2012,3.06,1.92,3.39,2.05,1.33,1.4,1.7,2.96,2,3.25,0.8,3.11,26.97
2013,3.81,3.16,0.96,6.25,2.14,6.78,2.75,3.85,1.31,3.31,2.19,2.88,39.39
2014,3.48,2.81,1.82,2.75,5.11,5.15,3.8,3.57,4.24,2.18,2.23,1.93,39.07
2015,1.81,2.01,0.96,2.72,5.06,7.03,2.08,3.5,1.99,2.1,2.7,2.98,34.94
2016,1.8,2.57,4.12,2.47,2.73,3.66,2.3,4.69,4.21,3.46,2.08,2.44,36.53
2017,4,2.04,5.05,4.61,3.85,1.37,3.58,2.77,1.62,5.19,4.46,2.23,40.77
2018,1.71,4.41,3.35,3.81,6.74,3.26,1.14,3.67,4.07,3.99,3.66,2.39,42.2
2019,2.18,2.73,3,4.71,4.66,5.53,5.13,2.81,4.66,4.81,2.42,2.79,45.43
2020,4.98,1.72,4.14,2.72,4.1,3.11,3.5,5.01,2.26,2.58,2.49,1.67,38.28
2021,1.71,2.02,1.96,3.28,2.39,8.13,4.94,5.43,6.72,6,1.87,M,M
Mean,2.07,1.97,2.43,2.93,3.39,3.57,3.03,3.03,2.92,2.59,2.56,2.32,33.02
Max,5.01,6.83,5.07,6.66,10.49,8.45,10.78,8.74,7.03,8.26,5.86,4.94,51.03
,1999,1918,1998,1937,1943,1968,1902,1975,1986,1917,1982,1967,2011
Min,0.18,0.16,0.26,0.21,0.47,0.24,0.11,T,0.26,0.06,0.1,0.31,16.85
,1961,1969,1958,1899,1936,1913,1936,1894,1979,1964,1904,1958,1963
